;Tweets;len;ID;Created;Source;Likes;RTs
0;👏🏼👏🏼👏🏼 https://t.co/nI9FOJEZt4;30;1579499267403960320;2022-10-10 15:49:05;Twitter for iPhone;15074;564
1;RT @England: We are uniting with nine other European countries in support of OneLove, a campaign that will use the power of football to pro…;140;1572568697822400514;2022-09-21 12:49:29;Twitter for iPhone;0;234
2;🏴󠁧󠁢󠁥󠁮󠁧󠁿👌🏼 @England https://t.co/aDb1xMcqyK;42;1572568571909373954;2022-09-21 12:48:59;Twitter for iPhone;45800;1769
3;RT @ManUtd: In memory of Her Majesty Queen Elizabeth II. https://t.co/Iw7Rkfy3Tt;80;1571802917971148801;2022-09-19 10:06:32;Twitter for iPhone;0;2599
4;Great team effort. Thanks to the fans who travelled so far, as always you were unbelievable 🔴⚫️⚪️ #mufc https://t.co/ov8DxynYcU;127;1570507523656134656;2022-09-15 20:19:06;Twitter for iPhone;23937;843
5;"RT @ManUtd: A final Carrington workout before we head to Moldova 🇲🇩

#MUFC || #UEL https://t.co/2HTAz1koQt";106;1570109450442129408;2022-09-14 17:57:18;Twitter for iPhone;0;633
6;Rest in peace, Her Majesty The Queen. Thoughts are with the Royal Family at this sad time. https://t.co/PuRFj7L4Oo;114;1567995809278328837;2022-09-08 21:58:27;Twitter for iPhone;45854;2097
7;"RT @ManUtd: Target practice 🎯

#MUFC https://t.co/GHC1qXRzCe";60;1566847461850861568;2022-09-05 17:55:20;Twitter for iPhone;0;818
8;"Well done lads great team effort. 💪🏼 

Fans were incredible.  🔴⚪️⚫️ #MUFC https://t.co/W4ccYxh567";97;1566507184447520770;2022-09-04 19:23:11;Twitter for iPhone;78569;3649
9;"RT @ManUtd: Racing towards our next #PL matchday 👊

#MUFC || #MUNARS https://t.co/CjUA04UKHo";92;1565778834871488516;2022-09-02 19:08:59;Twitter for iPhone;0;1087
